hersteller_id;hersteller_code;name;land;aktiv
1;H0001;Bosch;CH;True
2;H0002;Siemens;JP;True
3;H0003;Miele;KR;True
4;H0004;AEG;DE;True
5;H0005;Electrolux;SE;True
6;H0006;Gorenje;SE;True
7;H0007;Liebherr;DE;True
8;H0008;Neff;FR;True
9;H0009;Gaggenau;DE;True
10;H0010;Bauknecht;US;True
11;H0011;Beko;FR;True
12;H0012;Grundig;SE;True
13;H0013;Whirlpool;KR;True
14;H0014;Sony;FR;True
15;H0015;Samsung;CH;True
16;H0016;LG;CH;True
17;H0017;Panasonic;DE;True
18;H0018;Philips;KR;True
19;H0019;Sharp;KR;True
20;H0020;TCL;SE;True
21;H0021;Hisense;CH;True
22;H0022;Apple;US;True
23;H0023;Dell;TW;True
24;H0024;HP;AT;True
25;H0025;Lenovo;NL;True
26;H0026;Asus;FR;True
27;H0027;Acer;DE;True
28;H0028;MSI;CH;True
29;H0029;Fujitsu;CH;True
30;H0030;Intel;AT;True
31;H0031;AMD;DE;True
32;H0032;NVIDIA;DE;True
33;H0033;Canon;NL;True
34;H0034;Epson;AT;True
35;H0035;Brother;CH;True
36;H0036;Lexmark;JP;True
37;H0037;Xerox;AT;True
38;H0038;Ricoh;FR;True
39;H0039;Kyocera;JP;True
40;H0040;Cisco;US;True
41;H0041;TP-Link;KR;True
42;H0042;AVM;CH;True
43;H0043;Netgear;KR;True
44;H0044;D-Link;AT;True
45;H0045;Ubiquiti;NL;True
46;H0046;Nokia;AT;True
47;H0047;Motorola;CH;True
48;H0048;Xiaomi;NL;True
49;H0049;Huawei;NL;True
50;H0050;OnePlus;SE;True
51;H0051;Oppo;AT;True
52;H0052;Vivo;SE;True
53;H0053;Google;TW;True
54;H0054;Nestlé;KR;True
55;H0055;Ferrero;SE;True
56;H0056;Haribo;NL;True
57;H0057;Dr. Oetker;FR;True
58;H0058;Bahlsen;SE;True
59;H0059;Storck;NL;True
60;H0060;Ritter Sport;KR;True
61;H0061;Lindt;TW;True
62;H0062;Mars;SE;True
63;H0063;Mondelez;KR;True
64;H0064;Kellogg's;NL;True
65;H0065;Krombacher;SE;True
66;H0066;Bitburger;KR;True
67;H0067;Coca-Cola;TW;True
68;H0068;PepsiCo;FR;True
69;H0069;Beiersdorf;TW;True
70;H0070;Henkel;SE;True
71;H0071;Unilever;US;True
72;H0072;Procter & Gamble;AT;True
73;H0073;Colgate-Palmolive;TW;True
74;H0074;L'Oréal;US;True
75;H0075;Schwarzkopf;TW;True
76;H0076;Johnson & Johnson;NL;True
77;H0077;Adidas;KR;True
78;H0078;Puma;JP;True
79;H0079;Nike;FR;True
80;H0080;Levi Strauss;TW;True
81;H0081;Hugo Boss;KR;True
82;H0082;Esprit;TW;True
83;H0083;Tommy Hilfiger;AT;True
84;H0084;Levi's;US;True
85;H0085;Jack & Jones;DE;True
86;H0086;s.Oliver;FR;True
87;H0087;IKEA;DE;True
88;H0088;Hülsta;FR;True
89;H0089;Musterring;DE;True
90;H0090;Stressless;AT;True
91;H0091;Vitra;NL;True
92;H0092;Makita;KR;True
93;H0093;Bosch Professional;JP;True
94;H0094;DeWalt;CH;True
95;H0095;Metabo;TW;True
96;H0096;Einhell;SE;True
97;H0097;Hilti;DE;True
98;H0098;Festool;TW;True
99;H0099;Stihl;FR;True
100;H0100;Bosch Automotive;DE;True
