wg_id;wg_code;wg_kurzcode;bezeichnung;parent_id;aktiv
1;WG001;C;Computer;;True
2;WG002;N;Notebooks;;True
3;WG003;T;Tablets;;True
4;WG004;S;Smartphones;;True
5;WG005;F;Fernseher;;True
6;WG006;M;Monitore;;True
7;WG007;D;Drucker;;True
8;WG008;K;Kameras;;True
9;WG009;H;Haushaltsgeräte;;True
10;WG010;W;Weiße Ware;;True
11;WG011;A;Audio;;True
12;WG012;G;Gaming;;True
13;WG013;P;Peripherie;;True
14;WG014;Z;Zubehör;;True
15;WG015;L;Netzwerktechnik;;True
16;WG016;R;Router;;True
17;WG017;O;Software;;True
18;WG018;B;Bürobedarf;;True
19;WG019;I;Smart Home;;True
20;WG020;X;Wearables;;True
